"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00099";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539593"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00127";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538355"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00128";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537744"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00129";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539643"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00130";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541680"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00131";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539219"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00132";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536051"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00133";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529271"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00134";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539126"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00135";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538819"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00172";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535276"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00173";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535356"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00174";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540876"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00175";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652543979"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00176";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529510"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00177";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652516062"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00178";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535507"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00179";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540992"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00180";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652536012"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00226";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535469"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00227";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537490"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00228";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652539139"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00229";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538951"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00230";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535100"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00231";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535501"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00232";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652534249"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00233";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652540206"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00234";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652537500"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00280";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538383"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00281";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529581"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00282";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652541692"
